"Title:","'PHIL-ASR920-CE2 - Traffic - Gi0/0/4 30 Clarion Inn 30 Metro 1836..EC CMID:11'"
"Vertical Label:","'bits per second'"
"Start Date:","2020-05-13 15:00:00"
"End Date:","2020-05-13 15:00:00"
"Step:","7200"
"Total Rows:","373"
"Graph ID:","20819"
"Host ID:","653"
""
"Date","Inbound","Outbound"
"2020-05-19 19:00:00","1.0022248322e+06","1.4441370983e+07"
"2020-05-19 21:00:00","1.3175095111e+06","1.4633330985e+07"
"2020-05-19 23:00:00","1.5637575761e+06","1.8948384082e+07"
"2020-05-20 01:00:00","1.1992978521e+06","1.8543665925e+07"
"2020-05-20 03:00:00","1.4336268399e+06","3.3015151880e+07"
"2020-05-20 05:00:00","1.0384556895e+06","2.2720874760e+07"
"2020-05-20 07:00:00","1.1205774778e+06","2.0994749136e+07"
"2020-05-20 09:00:00","9.7719568911e+05","1.0924637631e+07"
"2020-05-20 11:00:00","1.2917588691e+06","1.2707563757e+07"
"2020-05-20 13:00:00","1.4715051077e+06","1.4029083293e+07"
"2020-05-20 15:00:00","1.1725453992e+06","1.2328981515e+07"
"2020-05-20 17:00:00","3.3496330357e+06","1.5500733613e+07"
"2020-05-20 19:00:00","1.9479216728e+06","2.5565746042e+07"
"2020-05-20 21:00:00","1.7076966691e+06","2.4757126281e+07"
"2020-05-20 23:00:00","1.5369114900e+06","1.5168240089e+07"
"2020-05-21 01:00:00","7.9758058522e+05","1.1446763218e+07"
"2020-05-21 03:00:00","1.0742810124e+06","7.3517873477e+06"
"2020-05-21 05:00:00","6.9241567393e+05","3.4536814994e+06"
"2020-05-21 07:00:00","9.9342937059e+05","1.1410301605e+07"
"2020-05-21 09:00:00","1.0692571858e+06","9.1000854074e+06"
"2020-05-21 11:00:00","8.8619838111e+05","5.9267686430e+06"
"2020-05-21 13:00:00","1.2945166895e+06","1.3958241307e+07"
"2020-05-21 15:00:00","1.4415977358e+06","1.6647254283e+07"
"2020-05-21 17:00:00","1.4511432861e+06","2.2600533831e+07"
"2020-05-21 19:00:00","1.6830610159e+06","2.5348361569e+07"
"2020-05-21 21:00:00","6.5325726068e+06","2.4509244885e+07"
"2020-05-21 23:00:00","1.2528647047e+06","1.4778717643e+07"
"2020-05-22 01:00:00","8.8322741574e+05","1.3357961349e+07"
"2020-05-22 03:00:00","6.9345323622e+05","1.0395106876e+07"
"2020-05-22 05:00:00","5.3487116032e+05","6.5122629036e+06"
"2020-05-22 07:00:00","6.3266060208e+05","7.6252143649e+06"
"2020-05-22 09:00:00","5.5437909983e+05","3.3198320930e+06"
"2020-05-22 11:00:00","6.8644699617e+05","7.2381340310e+06"
"2020-05-22 13:00:00","9.0014851118e+05","1.0909436999e+07"
"2020-05-22 15:00:00","8.7635255753e+05","6.0040716771e+06"
"2020-05-22 17:00:00","8.6520253309e+05","9.9715615143e+06"
"2020-05-22 19:00:00","9.0960582820e+05","6.7370004522e+06"
"2020-05-22 21:00:00","1.2060272340e+06","1.3819677148e+07"
"2020-05-22 23:00:00","1.5742872663e+06","3.6224879220e+07"
"2020-05-23 01:00:00","2.3846729502e+06","1.3674146981e+07"
"2020-05-23 03:00:00","9.9602271770e+05","1.6840349782e+07"
"2020-05-23 05:00:00","6.0745698949e+05","9.0498733373e+06"
"2020-05-23 07:00:00","4.7510456909e+06","3.1896958012e+06"
"2020-05-23 09:00:00","1.2726463883e+06","7.7687901933e+06"
"2020-05-23 11:00:00","1.6819470096e+06","1.9418192454e+07"
"2020-05-23 13:00:00","1.3245112996e+06","1.1464283783e+07"
"2020-05-23 15:00:00","1.2948528647e+06","1.2285509226e+07"
"2020-05-23 17:00:00","1.7974863004e+06","3.1799978557e+07"
"2020-05-23 19:00:00","2.5198739472e+06","5.5342099083e+07"
"2020-05-23 21:00:00","3.0456404654e+06","4.9200990369e+07"
"2020-05-23 23:00:00","2.0607055071e+06","4.2519924728e+07"
"2020-05-24 01:00:00","2.1779539263e+06","5.6357959867e+07"
"2020-05-24 03:00:00","1.5975034188e+06","4.9712250030e+07"
"2020-05-24 05:00:00","1.5561722002e+06","4.7833644091e+07"
"2020-05-24 07:00:00","6.0661806059e+05","1.0793412015e+07"
"2020-05-24 09:00:00","7.3483093227e+05","5.9586636399e+06"
"2020-05-24 11:00:00","8.3088287325e+05","4.8585908576e+06"
"2020-05-24 13:00:00","8.9137937499e+05","8.8877379492e+06"
"2020-05-24 15:00:00","8.8311321558e+05","6.6451809524e+06"
"2020-05-24 17:00:00","1.0029795480e+06","9.2680546040e+06"
"2020-05-24 19:00:00","1.0720361706e+06","8.2456659383e+06"
"2020-05-24 21:00:00","3.0142929947e+06","1.4701739933e+07"
"2020-05-24 23:00:00","1.0878220001e+06","1.5036326019e+07"
"2020-05-25 01:00:00","7.0471972211e+05","1.3091946064e+07"
"2020-05-25 03:00:00","5.8854688148e+05","7.4698874901e+06"
"2020-05-25 05:00:00","5.5442798362e+05","5.5044123984e+06"
"2020-05-25 07:00:00","5.7639543869e+05","5.2279820644e+06"
"2020-05-25 09:00:00","7.7376585230e+05","8.7802919370e+06"
"2020-05-25 11:00:00","1.0141064577e+06","1.7547463873e+07"
"2020-05-25 13:00:00","2.1693893843e+06","5.7614884473e+07"
"2020-05-25 15:00:00","1.3709978471e+06","2.8863241913e+07"
"2020-05-25 17:00:00","1.2220068056e+06","1.7717709798e+07"
"2020-05-25 19:00:00","2.5249610601e+06","4.1975926911e+07"
"2020-05-25 21:00:00","3.7783654547e+06","4.0229769829e+07"
"2020-05-25 23:00:00","2.4094594940e+06","2.6208477795e+07"
"2020-05-26 01:00:00","7.3079312993e+05","3.6017231000e+06"
"2020-05-26 03:00:00","5.7593242704e+05","3.5261681540e+06"
"2020-05-26 05:00:00","5.6711323012e+05","5.3393142091e+06"
"2020-05-26 07:00:00","8.5791924446e+05","1.0664593806e+07"
"2020-05-26 09:00:00","8.1948861857e+05","4.2157056726e+06"
"2020-05-26 11:00:00","8.3571344640e+05","6.9027134208e+06"
"2020-05-26 13:00:00","4.1101464008e+06","1.2468988426e+07"
"2020-05-26 15:00:00","1.0538949343e+06","1.1836544808e+07"
"2020-05-26 17:00:00","1.6438804975e+06","3.0803310872e+07"
"2020-05-26 19:00:00","1.3550284632e+06","1.9780945223e+07"
"2020-05-26 21:00:00","2.9123858743e+06","2.6344577717e+07"
"2020-05-26 23:00:00","1.5538148162e+06","3.1764082158e+07"
"2020-05-27 01:00:00","1.3894356770e+06","2.2741357607e+07"
"2020-05-27 03:00:00","7.9508007604e+05","1.5629647488e+07"
"2020-05-27 05:00:00","7.8463869219e+05","1.2041267298e+07"
"2020-05-27 07:00:00","9.0807079735e+05","1.2989678845e+07"
"2020-05-27 09:00:00","9.0144647222e+05","6.9314556501e+06"
"2020-05-27 11:00:00","1.0830256056e+06","2.0745530147e+07"
"2020-05-27 13:00:00","1.5468290716e+06","2.9683247915e+07"
"2020-05-27 15:00:00","1.2235978221e+06","1.6281727898e+07"
"2020-05-27 17:00:00","2.6935827378e+06","1.6283509501e+07"
"2020-05-27 19:00:00","1.7475293639e+06","2.3087299440e+07"
"2020-05-27 21:00:00","2.4483004342e+06","3.1694851779e+07"
"2020-05-27 23:00:00","1.3330639245e+07","3.6262700854e+07"
"2020-05-28 01:00:00","4.2038487624e+07","2.7094783887e+07"
"2020-05-28 03:00:00","8.4714486156e+05","1.5250912317e+07"
"2020-05-28 05:00:00","1.5591496147e+07","9.9430517711e+06"
"2020-05-28 07:00:00","9.7563913189e+05","1.3111343885e+07"
"2020-05-28 09:00:00","1.9182902354e+06","1.2556530104e+07"
"2020-05-28 11:00:00","8.9845982453e+05","1.0760909145e+07"
"2020-05-28 13:00:00","1.0205675263e+06","1.3370587489e+07"
"2020-05-28 15:00:00","1.7883086754e+06","1.6329298404e+07"
"2020-05-28 17:00:00","1.6870082051e+06","2.1295515031e+07"
"2020-05-28 19:00:00","2.4971143969e+06","4.2684053807e+07"
"2020-05-28 21:00:00","1.6599640710e+06","3.2320876220e+07"
"2020-05-28 23:00:00","1.1389586004e+06","2.5145110560e+07"
"2020-05-29 01:00:00","1.0061732269e+06","2.1010722257e+07"
"2020-05-29 03:00:00","5.6988201972e+05","4.0893178888e+06"
"2020-05-29 05:00:00","4.7989277395e+05","2.9136466270e+06"
"2020-05-29 07:00:00","8.0716515865e+05","4.4564853544e+06"
"2020-05-29 09:00:00","1.5265220339e+06","3.7146707207e+06"
"2020-05-29 11:00:00","7.1040133567e+05","3.8879873327e+06"
"2020-05-29 13:00:00","8.4723939576e+05","7.2308734631e+06"
"2020-05-29 15:00:00","1.0452414227e+06","8.2804896211e+06"
"2020-05-29 17:00:00","1.2631311867e+06","8.9671699666e+06"
"2020-05-29 19:00:00","1.3953150603e+06","1.2138619153e+07"
"2020-05-29 21:00:00","1.7218486810e+06","1.6515079305e+07"
"2020-05-29 23:00:00","6.5452358251e+06","2.0885850090e+07"
"2020-05-30 01:00:00","3.5536740319e+07","1.3350413846e+07"
"2020-05-30 03:00:00","8.6867564609e+05","8.1668927236e+06"
"2020-05-30 05:00:00","8.2472593146e+05","8.4253939593e+06"
"2020-05-30 07:00:00","1.1995266292e+06","1.0696396731e+07"
"2020-05-30 09:00:00","8.3899729660e+05","7.4700537920e+06"
"2020-05-30 11:00:00","8.9431716138e+05","8.9937647375e+06"
"2020-05-30 13:00:00","2.1108825568e+06","8.2926574233e+06"
"2020-05-30 15:00:00","2.1033833314e+06","8.4190069875e+06"
"2020-05-30 17:00:00","1.4140165811e+06","1.0286768533e+07"
"2020-05-30 19:00:00","2.4262160298e+06","1.2212357802e+07"
"2020-05-30 21:00:00","1.3456557268e+06","1.2920465052e+07"
"2020-05-30 23:00:00","4.1144083463e+06","1.1117344821e+07"
"2020-05-31 01:00:00","1.3175572464e+06","6.2315171251e+06"
"2020-05-31 03:00:00","6.5752933144e+05","6.3261185641e+06"
"2020-05-31 05:00:00","5.0542964813e+05","4.8739524508e+06"
"2020-05-31 07:00:00","6.0136607084e+05","3.0891029555e+06"
"2020-05-31 09:00:00","5.1440990226e+05","2.5181258714e+06"
"2020-05-31 11:00:00","1.1275624543e+06","2.7009646396e+06"
"2020-05-31 13:00:00","6.5259292892e+05","5.4594939047e+06"
"2020-05-31 15:00:00","6.2048962161e+05","4.4081401646e+06"
"2020-05-31 17:00:00","8.8663809246e+05","9.2280790872e+06"
"2020-05-31 19:00:00","1.0918013609e+06","9.1205820202e+06"
"2020-05-31 21:00:00","1.0875062125e+06","6.9676749601e+06"
"2020-05-31 23:00:00","5.2250333204e+06","9.2567073865e+06"
"2020-06-01 01:00:00","1.7981986677e+06","9.9978000347e+06"
"2020-06-01 03:00:00","1.9380060240e+06","1.0905458134e+07"
"2020-06-01 05:00:00","1.0338417057e+07","7.2572211665e+06"
"2020-06-01 07:00:00","1.0205152390e+06","5.8073748571e+06"
"2020-06-01 09:00:00","1.0460709822e+06","4.4020114208e+06"
"2020-06-01 11:00:00","7.4336425943e+05","5.3558950409e+06"
"2020-06-01 13:00:00","1.7973394553e+06","9.5344579033e+06"
"2020-06-01 15:00:00","9.4854833179e+05","8.4661083249e+06"
"2020-06-01 17:00:00","8.1313049911e+05","9.0244500955e+06"
"2020-06-01 19:00:00","1.1308079374e+06","8.3714841344e+06"
"2020-06-01 21:00:00","1.4457960939e+06","1.3747508904e+07"
"2020-06-01 23:00:00","1.3640809906e+06","1.5056836044e+07"
"2020-06-02 01:00:00","2.0017824944e+06","1.3671873092e+07"
"2020-06-02 03:00:00","6.9710703661e+05","6.9557265696e+06"
"2020-06-02 05:00:00","1.3335424880e+07","6.6832928570e+06"
"2020-06-02 07:00:00","1.5363463397e+07","8.3898495410e+06"
"2020-06-02 09:00:00","7.9891554410e+05","1.0746282830e+07"
"2020-06-02 11:00:00","1.5883418171e+06","1.2503713630e+07"
"2020-06-02 13:00:00","1.5860772949e+06","8.9408293995e+06"
"2020-06-02 15:00:00","9.7841022887e+05","8.8869748347e+06"
"2020-06-02 17:00:00","1.4640172155e+06","9.0431916786e+06"
"2020-06-02 19:00:00","1.1035408525e+06","1.0881997914e+07"
"2020-06-02 21:00:00","2.1043068840e+06","9.5471193620e+06"
"2020-06-02 23:00:00","1.4951199867e+07","1.1387425158e+07"
"2020-06-03 01:00:00","9.1990033446e+05","9.4989851174e+06"
"2020-06-03 03:00:00","6.4561533480e+05","8.8694466389e+06"
"2020-06-03 05:00:00","4.9954370980e+05","3.8046885896e+06"
"2020-06-03 07:00:00","5.2639351050e+05","3.7673425130e+06"
"2020-06-03 09:00:00","7.6839730361e+05","7.7711826384e+06"
"2020-06-03 11:00:00","6.7848807489e+05","5.8379466482e+06"
"2020-06-03 13:00:00","2.0690923085e+06","6.6059485736e+06"
"2020-06-03 15:00:00","9.0179794259e+05","8.3139999644e+06"
"2020-06-03 17:00:00","1.1911229628e+06","1.0092188503e+07"
"2020-06-03 19:00:00","1.1733915105e+06","8.9625557833e+06"
"2020-06-03 21:00:00","2.0327789582e+06","1.4981109321e+07"
"2020-06-03 23:00:00","1.8819801869e+06","1.3840828145e+07"
"2020-06-04 01:00:00","1.7120365505e+06","1.4173476424e+07"
"2020-06-04 03:00:00","5.4267217869e+05","9.5637664378e+06"
"2020-06-04 05:00:00","5.4885486273e+05","6.5779284273e+06"
"2020-06-04 07:00:00","5.1071636274e+05","4.3266532264e+06"
"2020-06-04 09:00:00","7.1578597468e+05","5.9985800425e+06"
"2020-06-04 11:00:00","6.9902459163e+05","5.6408936064e+06"
"2020-06-04 13:00:00","7.9051695421e+05","6.6241184668e+06"
"2020-06-04 15:00:00","9.9985397301e+05","8.7886689273e+06"
"2020-06-04 17:00:00","7.7759437688e+05","7.2933317197e+06"
"2020-06-04 19:00:00","1.4676073590e+06","9.6532235744e+06"
"2020-06-04 21:00:00","1.1096907414e+06","1.0346399396e+07"
"2020-06-04 23:00:00","1.3370404950e+06","1.1279030477e+07"
"2020-06-05 01:00:00","3.1786502130e+06","1.7277523139e+07"
"2020-06-05 03:00:00","7.0065742891e+05","9.2587759262e+06"
"2020-06-05 05:00:00","6.3942387716e+05","6.6631809898e+06"
"2020-06-05 07:00:00","1.0079337404e+06","1.1579041611e+07"
"2020-06-05 09:00:00","1.5347591884e+06","8.6505362558e+06"
"2020-06-05 11:00:00","1.5323575382e+06","1.0341767603e+07"
"2020-06-05 13:00:00","3.4798391911e+06","1.6678778220e+07"
"2020-06-05 15:00:00","6.0638551401e+06","1.6709689505e+07"
"2020-06-05 17:00:00","1.7582534563e+06","1.7635089854e+07"
"2020-06-05 19:00:00","1.4062274888e+06","1.3649791383e+07"
"2020-06-05 21:00:00","1.1057040673e+06","1.1787615472e+07"
"2020-06-05 23:00:00","6.0955939362e+06","2.8943662117e+07"
"2020-06-06 01:00:00","1.3836748920e+06","2.6983168194e+07"
"2020-06-06 03:00:00","1.7653050376e+06","4.3003442734e+06"
"2020-06-06 05:00:00","1.4033963603e+06","5.0492656365e+06"
"2020-06-06 07:00:00","5.2784809109e+05","3.1697691424e+06"
"2020-06-06 09:00:00","1.2347673250e+06","5.5840593076e+06"
"2020-06-06 11:00:00","1.3563803891e+06","1.3635995204e+07"
"2020-06-06 13:00:00","9.8185260941e+05","9.3509426964e+06"
"2020-06-06 15:00:00","1.0619336124e+06","1.3901504089e+07"
"2020-06-06 17:00:00","1.5754629869e+06","1.5357061856e+07"
"2020-06-06 19:00:00","2.2964944072e+06","1.5450788763e+07"
"2020-06-06 21:00:00","1.9042898440e+06","1.3427139186e+07"
"2020-06-06 23:00:00","1.5666864418e+06","1.5765052331e+07"
"2020-06-07 01:00:00","4.7604751544e+06","1.0391904195e+07"
"2020-06-07 03:00:00","7.7865756074e+05","9.7610519095e+06"
"2020-06-07 05:00:00","5.9145574511e+05","4.4701853109e+06"
"2020-06-07 07:00:00","5.2745579006e+05","2.8935367031e+06"
"2020-06-07 09:00:00","6.6356393444e+05","7.3884262332e+06"
"2020-06-07 11:00:00","7.1469652813e+05","3.2370401096e+06"
"2020-06-07 13:00:00","8.4522045266e+05","3.6408692959e+06"
"2020-06-07 15:00:00","2.1032043285e+06","1.2579427770e+07"
"2020-06-07 17:00:00","8.1468945703e+05","5.9149772876e+06"
"2020-06-07 19:00:00","7.3210369461e+05","6.8381730753e+06"
"2020-06-07 21:00:00","9.9879612655e+05","6.5444465979e+06"
"2020-06-07 23:00:00","1.2050002414e+06","1.5880150456e+07"
"2020-06-08 01:00:00","7.8045543081e+05","1.2220756230e+07"
