Date,Inbound,Outbound
5/18/2020,637274.8,5768260.67
5/18/2020,519110.94,5216667.36
5/18/2020,590097.27,7970196.6
5/18/2020,542530.94,5207901.3
5/18/2020,733963.93,6583865.19
5/18/2020,800825.46,6688863.08
5/18/2020,1094613.29,12489274.24
5/18/2020,1307838.57,17929465.23
5/18/2020,1286422.3,16404579.64
5/18/2020,1815458.67,18312765.36
5/18/2020,4436308.7,14451278.99
5/18/2020,978545.03,13845857.16
5/19/2020,2030856.98,9272664.09
5/19/2020,668935.35,5678673.9
5/19/2020,588753.27,4386205.15
5/19/2020,675556.1,7255622.06
5/19/2020,678349.33,6089674.27
5/19/2020,865978.37,7425583.53
5/19/2020,1128530.45,12313426.69
5/19/2020,1819686.24,35951852.39
5/19/2020,2530123.68,69122487.25
5/19/2020,1002224.83,14441370.98
5/19/2020,1317509.51,14633330.99
5/19/2020,1563757.58,18948384.08
5/20/2020,1199297.85,18543665.93
5/20/2020,1433626.84,33015151.88
5/20/2020,1038455.69,22720874.76
5/20/2020,1120577.48,20994749.14
5/20/2020,977195.69,10924637.63
5/20/2020,1291758.87,12707563.76
5/20/2020,1471505.11,14029083.29
5/20/2020,1172545.4,12328981.52
5/20/2020,3349633.04,15500733.61
5/20/2020,1947921.67,25565746.04
5/20/2020,1707696.67,24757126.28
5/20/2020,1536911.49,15168240.09
5/21/2020,797580.59,11446763.22
5/21/2020,1074281.01,7351787.35
5/21/2020,692415.67,3453681.5
5/21/2020,993429.37,11410301.61
5/21/2020,1069257.19,9100085.41
5/21/2020,886198.38,5926768.64
5/21/2020,1294516.69,13958241.31
5/21/2020,1441597.74,16647254.28
5/21/2020,1451143.29,22600533.83
5/21/2020,1683061.02,25348361.57
5/21/2020,6532572.61,24509244.89
5/21/2020,1252864.7,14778717.64
5/22/2020,883227.42,13357961.35
5/22/2020,693453.24,10395106.88
5/22/2020,534871.16,6512262.9
5/22/2020,632660.6,7625214.36
5/22/2020,554379.1,3319832.09
5/22/2020,686447,7238134.03
5/22/2020,900148.51,10909437
5/22/2020,876352.56,6004071.68
5/22/2020,865202.53,9971561.51
5/22/2020,909605.83,6737000.45
5/22/2020,1206027.23,13819677.15
5/22/2020,1574287.27,36224879.22
5/23/2020,2384672.95,13674146.98
5/23/2020,996022.72,16840349.78
5/23/2020,607456.99,9049873.34
5/23/2020,4751045.69,3189695.8
5/23/2020,1272646.39,7768790.19
5/23/2020,1681947.01,19418192.45
5/23/2020,1324511.3,11464283.78
5/23/2020,1294852.86,12285509.23
5/23/2020,1797486.3,31799978.56
5/23/2020,2519873.95,55342099.08
5/23/2020,3045640.47,49200990.37
5/23/2020,2060705.51,42519924.73
5/24/2020,2177953.93,56357959.87
5/24/2020,1597503.42,49712250.03
5/24/2020,1556172.2,47833644.09
5/24/2020,606618.06,10793412.02
5/24/2020,734830.93,5958663.64
5/24/2020,830882.87,4858590.86
5/24/2020,891379.37,8887737.95
5/24/2020,883113.22,6645180.95
5/24/2020,1002979.55,9268054.6
5/24/2020,1072036.17,8245665.94
5/24/2020,3014292.99,14701739.93
5/24/2020,1087822,15036326.02
5/25/2020,704719.72,13091946.06
5/25/2020,588546.88,7469887.49
5/25/2020,554427.98,5504412.4
5/25/2020,576395.44,5227982.06
5/25/2020,773765.85,8780291.94
5/25/2020,1014106.46,17547463.87
5/25/2020,2169389.38,57614884.47
5/25/2020,1370997.85,28863241.91
5/25/2020,1222006.81,17717709.8
5/25/2020,2524961.06,41975926.91
5/25/2020,3778365.45,40229769.83
5/25/2020,2409459.49,26208477.8
5/26/2020,730793.13,3601723.1
5/26/2020,575932.43,3526168.15
5/26/2020,567113.23,5339314.21
5/26/2020,857919.24,10664593.81
5/26/2020,819488.62,4215705.67
5/26/2020,835713.45,6902713.42
5/26/2020,4110146.4,12468988.43
5/26/2020,1053894.93,11836544.81
5/26/2020,1643880.5,30803310.87
5/26/2020,1355028.46,19780945.22
5/26/2020,2912385.87,26344577.72
5/26/2020,1553814.82,31764082.16
5/27/2020,1389435.68,22741357.61
5/27/2020,795080.08,15629647.49
5/27/2020,784638.69,12041267.3
